id,username,created_at,lng,lat,text
1517704891820482560,minoritywine,Sat Apr 23 03:20:18 +0000 2022,-80.164475,26.10299,Just posted a photo @ Shady Banks https://t.co/sUO2Cs06J1
1517704891170390016,NathanJTweets,Sat Apr 23 03:20:18 +0000 2022,-122.333177,47.590732,Great night for a ball game! #SeaUsRise https://t.co/fIReDvUj0B
1517704892579733504,MannekenFresh,Sat Apr 23 03:20:18 +0000 2022,-80.13296249999999,25.816965500000002,Y’all active ?? Can drop some porn ?? 😈
1517704892349136897,coltshaw_,Sat Apr 23 03:20:18 +0000 2022,-75.117998,40.0048655,mfw I see the Phillies win https://t.co/r8gE4dwe7Y
1517704893137629185,JoshMcVa,Sat Apr 23 03:20:18 +0000 2022,-79.42086499999999,38.003375500000004,The internet is still down. https://t.co/Z4lwFbOHq8
1517704894458834946,JohannBeukes,Sat Apr 23 03:20:19 +0000 2022,-80.0950505,26.9762395,@brianokken What are you building? (Planning to build)
1517704894874099712,Smilan317,Sat Apr 23 03:20:19 +0000 2022,-90.3817485,38.594022499999994,@Dilldum @LeonaLioness6 Agreed
1517704895104757762,JLevityCT,Sat Apr 23 03:20:19 +0000 2022,-72.9291585,41.298394,Quick hand me my peanut butter fork
1517704895444381697,TeamFullGorilla,Sat Apr 23 03:20:19 +0000 2022,-105.5508905,38.997935999999996,"@TeamFullGorilla 14U boys going to test their might against the best in the country, someone has to represent the 📦… https://t.co/iXs5j7FLJ1"
1517704895759069186,Robincha,Sat Apr 23 03:20:19 +0000 2022,-87.732013,41.8335845,@GLew1970 Is that a reference to Eve of Destruction? It kinda went over my head.
1517704896010719233,TheTMFoundation,Sat Apr 23 03:20:19 +0000 2022,-100.47711064,31.39722777,Just posted a photo @ Bentwood Country Club https://t.co/bQIpC5EefD
1517704895582724096,NYTILLID13,Sat Apr 23 03:20:19 +0000 2022,-117.46269799999999,34.1081605,@cba_titans 11U NEW TIMES: https://t.co/uH9azMMhTP
1517704897231081472,Firklebaby,Sat Apr 23 03:20:19 +0000 2022,-106.1628985,28.941865999999997,I've asked about you and they told me things...But my mind didn't change and I still feel the same..What's a life… https://t.co/4xVR1b3J3X
1517704896841142272,sarahfeiserr,Sat Apr 23 03:20:19 +0000 2022,-81.1096165,32.0172845,I graduated Girl Scouts today 💚 @girlscouts https://t.co/v7F2uSR1Nd
1517704898296651778,LaurenW59816029,Sat Apr 23 03:20:20 +0000 2022,-96.7617535,32.819858499999995,@lovealwayscole @unicornplugg It’s so damn worth it. You’ll be wishing for it to exist right afterwards. Saw this a… https://t.co/lm6jCMzanf
1517704898846023681,aware_the,Sat Apr 23 03:20:20 +0000 2022,-79.95791,37.274488500000004,"***MISSING/ENDANGERED*** LEBANON, VAThe Lebanon Police are seeking the public’s assistance in locating missing 83… https://t.co/86EIIjaTTX"
1517704899823349762,trillanunnaki,Sat Apr 23 03:20:20 +0000 2022,-95.44648649999999,29.838495,Listen ladies.. You don’t always need a man to take you out on dates. I remember  when I used to get cute and eat o… https://t.co/nhqHHKQgGo
1517704900377214976,Caromel1989,Sat Apr 23 03:20:20 +0000 2022,-89.069133,30.426026999999998,Better
1517704901433909248,Toine_79,Sat Apr 23 03:20:20 +0000 2022,-90.011008,29.982601,I told y’all don’t let Choppa perform that janky ass song 😭😭 they went on a run right after 😂😂
1517704902906195968,moonrazing,Sat Apr 23 03:20:21 +0000 2022,-84.266174,30.476215500000002,my dorm room is so clean im so happy but i have a headache from inhaling so much bleach
1517704902943854592,miillkkmannn,Sat Apr 23 03:20:21 +0000 2022,-80.8467855,35.209058999999996,🤤 On the way 😈
1517704903065538560,TeriCBrownUGA,Sat Apr 23 03:20:21 +0000 2022,-83.1738665,32.6782075,@americafirstmg Are we sure this tape isn’t edited? It did come from Maddow.
1517704902478229504,JeffBaiocco,Sat Apr 23 03:20:21 +0000 2022,-116.97941900000001,46.399266,@warpig03310 @tomdoonbeg @NewsAsset @investvoyager Yep - nothing is safe 😉 https://t.co/Q0ZRZLu9m5
1517704903874990081,TopherJames5,Sat Apr 23 03:20:21 +0000 2022,-71.683502,42.036939000000004,Absolutely amazing how mad chuds from New Hampshire get every time Mayor Wu tweets
1517704904751534080,klizana,Sat Apr 23 03:20:21 +0000 2022,-122.4359785,37.7706565,@frojasg @PinholeDay @realitysosubtle You are going wideeeee! beware of your fingers and stay gold! 🤗
